measurement_id,sample_id,replicate_id,sensor_state,target_bacterium,scan_index,potential_V,current_uA
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,1,-0.2,0.805816
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,2,-0.195,0.978738
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,3,-0.19,0.821784
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,4,-0.185,0.906341
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,5,-0.18,0.895645
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,6,-0.175,0.774217
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,7,-0.17,0.831844
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,8,-0.165,0.715777
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,9,-0.16,0.844875
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,10,-0.155,0.826281
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,11,-0.15,0.83297
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,12,-0.145,0.772077
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,13,-0.14,0.959284
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,14,-0.135,0.856498
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,15,-0.13,0.915148
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,16,-0.125,0.884564
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,17,-0.12,0.885699
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,18,-0.115,0.90041
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,19,-0.11,0.89712
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,20,-0.105,0.956055
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,21,-0.1,0.948983
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,22,-0.095,0.845443
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,23,-0.09,0.771137
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,24,-0.085,0.786029
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,25,-0.08,0.815502
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,26,-0.075,0.886801
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,27,-0.07,0.799345
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,28,-0.065,0.811733
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,29,-0.06,0.825723
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,30,-0.055,0.79938
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,31,-0.05,0.798429
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,32,-0.045,0.768242
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,33,-0.04,0.755841
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,34,-0.035,0.833341
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,35,-0.03,0.696743
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,36,-0.025,0.789829
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,37,-0.02,0.721519
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,38,-0.015,0.705244
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,39,-0.01,0.825398
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,40,-0.005,0.698145
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,41,0.0,0.748522
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,42,0.005,0.812038
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,43,0.01,0.784478
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,44,0.015,0.811666
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,45,0.02,0.836364
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,46,0.025,0.874869
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,47,0.03,0.865572
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,48,0.035,0.868087
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,49,0.04,0.890912
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,50,0.045,0.97198
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,51,0.05,0.990672
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,52,0.055,1.063372
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,53,0.06,1.265008
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,54,0.065,1.491532
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,55,0.07,1.87032
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,56,0.075,2.353716
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,57,0.08,3.206434
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,58,0.085,4.187093
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,59,0.09,5.417473
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,60,0.095,6.815195
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,61,0.1,8.773196
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,62,0.105,10.561282
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,63,0.11,12.548542
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,64,0.115,15.121419
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,65,0.12,17.317676
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,66,0.125,19.425483
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,67,0.13,21.292086
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,68,0.135,22.654414
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,69,0.14,23.9337
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,70,0.145,24.046511
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,71,0.15,23.223821
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,72,0.155,22.434233
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,73,0.16,20.594515
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,74,0.165,19.232065
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,75,0.17,17.344638
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,76,0.175,14.730978
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,77,0.18,12.046915
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,78,0.185,9.933903
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,79,0.19,8.171396
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,80,0.195,6.287223
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,81,0.2,4.860819
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,82,0.205,3.773813
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,83,0.21,2.789985
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,84,0.215,2.280462
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,85,0.22,1.723746
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,86,0.225,1.383111
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,87,0.23,1.206794
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,88,0.235,1.048081
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,89,0.24,0.996785
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,90,0.245,0.878447
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,91,0.25,0.900639
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,92,0.255,0.934518
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,93,0.26,0.884482
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,94,0.265,0.955614
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,95,0.27,0.852881
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,96,0.275,0.941712
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,97,0.28,0.768062
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,98,0.285,0.861199
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,99,0.29,0.795197
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,100,0.295,0.768498
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,101,0.3,0.810867
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,102,0.305,0.793122
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,103,0.31,0.813579
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,104,0.315,0.870325
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,105,0.32,0.886459
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,106,0.325,0.964268
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,107,0.33,0.882844
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,108,0.335,0.902186
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,109,0.34,0.845921
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,110,0.345,0.859927
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,111,0.35,0.845925
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,112,0.355,0.81952
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,113,0.36,0.786546
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,114,0.365,0.902683
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,115,0.37,0.870441
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,116,0.375,0.727791
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,117,0.38,0.794516
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,118,0.385,0.819029
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,119,0.39,0.844746
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,120,0.395,0.815344
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,121,0.4,0.863563
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,122,0.405,0.940076
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,123,0.41,0.879668
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,124,0.415,0.842797
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,125,0.42,0.874714
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,126,0.425,0.908096
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,127,0.43,0.860884
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,128,0.435,0.847478
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,129,0.44,0.864868
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,130,0.445,0.900608
EC_001_R1_0,EC_001,1,carbon_clean,Escherichia coli,131,0.45,0.858344
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,1,-0.2,0.700787
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,2,-0.195,0.674438
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,3,-0.19,0.724732
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,4,-0.185,0.702335
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,5,-0.18,0.683432
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,6,-0.175,0.640423
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,7,-0.17,0.683335
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,8,-0.165,0.63198
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,9,-0.16,0.600606
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,10,-0.155,0.624252
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,11,-0.15,0.639713
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,12,-0.145,0.682111
EC_001_R1_1,EC_001,1,capture_probe,Escherichia coli,13,-0.14,0.686292
