feature_set,model,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_opt_mean,sensitivity_mean,specificity_mean,roc_auc_mean,roc_auc_std,n_seeds
stage_diff_full_curve,baseline_log_reg,0.9374756823188914,0.01594333313088009,0.9578451320091934,0.9518509174729806,0.9231004471648021,0.9819871513309009,0.012533992036627545,10
stage_diff_full_curve,random_forest,0.9221911708441916,0.03453040369982936,0.9427133495497415,0.9530903240877648,0.891292017600618,0.9761951433697476,0.013751403331228151,10
stage_diff_full_curve,svm_rbf,0.9170997427738579,0.0402365664885062,0.9445276647110337,0.925656970646728,0.9085425149009876,0.9749972788415425,0.015709543319583748,10
stage_diff_full_curve,gradient_boosting,0.8849886511698187,0.03356704217532171,0.9358260351885764,0.9585460316237956,0.8114312707158422,0.9676448501953228,0.01753861504092753,10
stage_diff_full_curve,lda,0.8405100421837309,0.026772293749915896,0.8757419495060763,0.8925018682444161,0.7885182161230457,0.9270505138036048,0.021518922535543827,10
stage_diff_summary,baseline_log_reg,0.7906115531493609,0.03663140661570274,0.8138262646851242,0.7630720916017013,0.8181510146970208,0.8585667170253297,0.03159357384672074,10
stage_diff_summary,svm_rbf,0.7367519365942272,0.0276711153645481,0.7609960121001056,0.7286198728928679,0.7448840002955865,0.8191846665640341,0.04147567481823159,10
stage_diff_summary,random_forest,0.7154618726344582,0.03173962800433498,0.75574107993172,0.8328741119584727,0.5980496333104435,0.7961071222836338,0.048687402857950556,10
stage_diff_summary,lda,0.6916582185998066,0.05299673644498962,0.8063358753550173,0.9075687789121047,0.47574765828750837,0.8534352588207401,0.029362548424648447,10
stage_diff_summary,gradient_boosting,0.632009949569899,0.037079263668519005,0.7386579387717289,0.8823490762376064,0.3816708229021915,0.7743093968306001,0.046032546770354066,10
